,count,mean,std,min,25%,50%,75%,max
Seg,6.0,6.333333333333333,6.377042156569664,1.0,2.25,3.0,11.25,15.0
Ter,12.0,12.083333333333334,12.243427426644677,3.0,4.0,6.5,18.75,44.0
Qua,9.0,8.777777777777779,7.067138349038063,1.0,5.0,7.0,10.0,26.0
Qui,8.0,5.5,5.18238775634773,1.0,2.0,3.0,8.25,16.0
Sex,7.0,20.571428571428573,33.245837548266316,2.0,6.0,7.0,14.0,95.0
Sáb,7.0,7.571428571428571,4.7559486560567095,1.0,5.0,8.0,9.0,16.0
Dom,13.0,8.461538461538462,7.964665557064994,0.0,3.0,6.0,10.0,26.0
