,count,mean,std,min,25%,50%,75%,max
Seg,837.0,17.381123058542414,12.603135372805813,0.0,9.0,15.0,23.0,143.0
Ter,839.0,19.870083432657925,14.17756636170414,0.0,10.5,17.0,25.0,152.0
Qua,836.0,19.31937799043062,15.73636568214217,0.0,9.0,16.0,26.0,156.0
Qui,825.0,19.666666666666668,14.813457102474791,0.0,9.0,17.0,27.0,134.0
Sex,824.0,20.319174757281555,14.913808953300517,0.0,9.0,18.0,27.0,144.0
Sáb,860.0,16.412790697674417,10.081764638852064,0.0,9.0,15.0,21.0,79.0
Dom,882.0,14.193877551020408,10.303556516490215,0.0,8.0,12.0,18.0,121.0
