Hora,count,mean,std,min,25%,50%,75%,max
0,363.0,19.62534435261708,9.699212081679786,0.0,13.0,18.0,25.0,61.0
1,364.0,18.997252747252748,8.63444911039929,1.0,13.0,18.0,23.0,54.0
2,362.0,18.56353591160221,8.032661628417875,3.0,14.0,17.0,23.0,62.0
3,364.0,17.5989010989011,7.990600462968141,0.0,12.0,17.0,22.0,63.0
4,364.0,17.414835164835164,7.017169005681509,1.0,13.0,16.0,21.0,45.0
5,364.0,17.82967032967033,6.881011433526204,2.0,13.0,17.0,22.0,46.0
6,364.0,18.98901098901099,14.418571209151674,1.0,14.0,17.0,23.0,260.0
7,363.0,19.94214876033058,9.186794679051383,0.0,13.0,18.0,25.0,59.0
8,363.0,19.429752066115704,10.607898479875901,0.0,12.0,17.0,25.0,61.0
9,362.0,18.502762430939228,10.380636304021476,0.0,12.0,17.0,23.0,98.0
10,359.0,19.545961002785514,10.96400811128835,1.0,12.0,18.0,24.0,76.0
11,361.0,21.67590027700831,12.360676933594469,1.0,13.0,19.0,28.0,121.0
12,363.0,20.96694214876033,10.030286085962716,2.0,14.0,20.0,27.0,68.0
13,363.0,23.94214876033058,12.100840699981035,1.0,16.0,23.0,30.0,90.0
14,362.0,24.599447513812155,12.177236823139397,0.0,16.0,23.0,31.0,92.0
15,362.0,25.430939226519335,12.847795706543282,0.0,17.0,23.5,32.0,91.0
16,363.0,26.203856749311296,15.303460284739685,3.0,17.0,23.0,32.0,179.0
17,364.0,28.804945054945055,18.65823927476648,2.0,17.75,24.0,35.0,191.0
18,364.0,28.681318681318682,17.599385865117338,1.0,18.0,25.0,36.0,146.0
19,364.0,29.156593406593405,16.69991786454985,4.0,18.0,26.0,36.0,147.0
20,364.0,27.335164835164836,15.79928424383151,1.0,17.0,24.0,34.0,144.0
21,364.0,24.98901098901099,13.264417909966387,3.0,16.0,22.5,32.0,88.0
22,363.0,23.454545454545453,11.343944766831694,3.0,15.0,21.0,30.0,73.0
23,362.0,21.76795580110497,10.214121489591516,2.0,15.0,20.0,27.0,67.0
