Mes,count,mean,std,min,25%,50%,75%,max
1,742.0,27.249326145552562,10.209338866210606,7.0,21.0,26.0,32.0,122.0
2,672.0,27.498511904761905,8.455546818500745,8.0,21.0,27.0,33.0,64.0
3,738.0,27.5840108401084,36.62019097639688,8.0,20.0,25.0,31.0,985.0
4,720.0,25.894444444444446,10.460201931489427,6.0,18.0,24.0,31.0,76.0
5,741.0,31.076923076923077,11.831052555618395,8.0,22.0,30.0,37.0,76.0
6,719.0,31.0,14.725718884230462,8.0,21.0,28.0,37.0,111.0
7,744.0,27.24462365591398,13.531453736942868,4.0,18.0,25.0,33.0,120.0
8,744.0,35.170698924731184,22.687155556311684,7.0,21.0,28.0,43.0,175.0
9,709.0,22.468265162200282,12.396836208274571,0.0,12.0,21.0,31.0,75.0
10,656.0,22.9375,12.438087129875786,0.0,14.0,21.5,30.25,83.0
11,678.0,22.460176991150444,13.188689974663923,0.0,12.0,21.0,31.0,84.0
12,678.0,23.047197640117993,12.24699581379435,1.0,14.0,21.0,31.0,68.0
