,count,mean,std,min,25%,50%,75%,max
Seg,1213.0,26.924154987633965,13.815886914588042,1.0,19.0,25.0,33.0,175.0
Ter,1221.0,27.497952497952497,12.583857890601612,0.0,19.0,26.0,35.0,100.0
Qua,1224.0,28.62908496732026,15.00039804800732,0.0,19.0,26.0,35.0,135.0
Qui,1232.0,29.056006493506494,31.213724818103117,4.0,19.0,27.0,35.0,985.0
Sex,1218.0,28.917077175697866,15.285844623249783,2.0,20.0,27.0,35.0,159.0
Sáb,1200.0,24.974166666666665,11.601896510531793,0.0,17.0,23.0,31.0,104.0
Dom,1233.0,23.536901865369018,10.903002496822559,1.0,17.0,22.0,28.0,95.0
