Hora,count,mean,std,min,25%,50%,75%,max
0,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
1,4.0,15.5,4.795831523312719,11.0,12.5,14.5,17.5,22.0
2,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
3,3.0,11.333333333333334,2.081665999466133,9.0,10.5,12.0,12.5,13.0
4,2.0,6.5,2.1213203435596424,5.0,5.75,6.5,7.25,8.0
5,4.0,10.5,1.9148542155126762,9.0,9.0,10.0,11.5,13.0
6,3.0,7.0,5.291502622129181,3.0,4.0,5.0,9.0,13.0
7,2.0,8.0,8.48528137423857,2.0,5.0,8.0,11.0,14.0
8,5.0,14.0,6.041522986797286,7.0,9.0,16.0,16.0,22.0
9,1.0,18.0,,18.0,18.0,18.0,18.0,18.0
10,2.0,12.0,1.4142135623730951,11.0,11.5,12.0,12.5,13.0
11,4.0,11.75,9.394147114027968,3.0,5.25,10.0,16.5,24.0
12,6.0,13.333333333333334,8.640987597877146,4.0,6.5,13.0,18.0,26.0
13,6.0,11.333333333333334,10.152175464730043,2.0,6.5,9.0,10.75,31.0
14,4.0,6.25,4.9916597106239795,2.0,2.75,5.0,8.5,13.0
15,4.0,12.75,12.257650672131263,0.0,3.75,12.5,21.5,26.0
16,3.0,11.333333333333334,9.451631252505218,4.0,6.0,8.0,15.0,22.0
17,0.0,,,,,,,
18,5.0,19.8,12.31665539016173,5.0,9.0,24.0,27.0,34.0
19,6.0,18.833333333333332,9.579491983746669,3.0,14.25,22.5,24.0,29.0
20,5.0,11.2,9.418067742376884,0.0,2.0,17.0,17.0,20.0
21,1.0,9.0,,9.0,9.0,9.0,9.0,9.0
22,7.0,17.142857142857142,15.815905195177958,1.0,7.5,12.0,24.0,44.0
23,4.0,7.5,3.415650255319866,4.0,5.5,7.0,9.0,12.0
