Mes,count,mean,std,min,25%,50%,75%,max
1,742.0,33.46630727762803,13.701298621526693,8.0,25.0,31.0,39.75,143.0
2,672.0,34.71875,11.952828531798707,11.0,26.0,33.0,42.0,93.0
3,738.0,35.98509485094851,38.39353525769586,9.0,24.0,31.0,41.0,985.0
4,720.0,35.354166666666664,16.952715369947803,10.0,24.0,32.0,43.0,165.0
5,741.0,44.931174089068826,21.200633910669904,13.0,29.0,40.0,55.0,134.0
6,719.0,39.64394993045897,20.310228057890097,9.0,26.0,36.0,48.0,188.0
7,744.0,36.19086021505376,20.055135906899988,8.0,23.0,31.5,44.0,177.0
8,744.0,45.969086021505376,30.514438234247,8.0,27.0,37.0,56.0,259.0
9,719.0,32.73018080667594,15.134110556453308,6.0,21.0,30.0,43.0,151.0
10,742.0,32.23989218328841,37.07983325200448,6.0,18.0,28.0,40.0,686.0
11,704.0,32.85795454545455,16.526017052587036,4.0,21.0,30.0,41.0,194.0
12,677.0,34.556868537666176,17.31354860585682,5.0,21.0,31.0,44.0,134.0
