,count,mean,std,min,25%,50%,75%,max
Seg,15.0,11.533333333333333,13.521763762102015,3.0,4.5,7.0,11.0,56.0
Ter,10.0,45.6,103.69956605502261,3.0,7.5,10.5,14.75,339.0
Qua,12.0,16.166666666666668,30.432737555985906,0.0,4.0,5.5,13.0,111.0
Qui,4.0,7.25,3.593976442141304,4.0,4.75,6.5,9.0,12.0
Sex,10.0,10.6,11.87153458207208,1.0,5.0,7.5,11.0,43.0
Sáb,10.0,57.3,124.04394382637146,2.0,4.5,8.5,11.5,394.0
Dom,15.0,10.333333333333334,12.787642844707912,2.0,3.0,5.0,9.0,41.0
