Hora,count,mean,std,min,25%,50%,75%,max
0,363.0,25.575757575757574,10.702747448510266,7.0,18.0,23.0,31.0,69.0
1,364.0,24.36263736263736,9.60144213630338,7.0,17.0,23.0,29.0,67.0
2,364.0,23.983516483516482,11.897623567479624,7.0,17.0,22.0,29.0,165.0
3,364.0,22.681318681318682,8.287039395812549,9.0,17.0,21.0,27.0,67.0
4,364.0,22.354395604395606,9.252396453328586,7.0,17.0,21.0,26.0,124.0
5,364.0,23.104395604395606,7.667331322314918,8.0,18.0,22.0,27.0,55.0
6,364.0,24.203296703296704,17.286514118497834,7.0,17.0,23.0,28.0,318.0
7,364.0,26.178571428571427,11.211637113686322,9.0,18.0,24.0,32.0,90.0
8,363.0,27.490358126721762,13.940750339818042,4.0,18.0,25.0,34.0,100.0
9,363.0,27.28374655647383,14.741771195101968,4.0,18.0,24.0,33.5,183.0
10,361.0,29.304709141274238,15.341889098012727,7.0,19.0,26.0,36.0,119.0
11,362.0,31.116022099447513,19.762378362355744,9.0,20.0,27.0,37.0,283.0
12,364.0,29.282967032967033,13.563020377149638,8.0,20.0,27.5,36.0,99.0
13,363.0,32.900826446280995,18.2770596901501,9.0,20.0,30.0,41.5,190.0
14,362.0,33.75414364640884,17.608635408639078,8.0,21.25,31.0,42.0,173.0
15,362.0,33.51933701657459,17.89693211309191,8.0,21.25,29.0,41.0,155.0
16,363.0,34.42424242424242,19.316545070064432,7.0,22.0,30.0,42.5,189.0
17,364.0,38.31043956043956,30.924591493419996,10.0,22.75,32.0,43.25,351.0
18,364.0,36.41208791208791,22.764465737456028,9.0,22.0,31.0,44.0,169.0
19,364.0,36.7032967032967,20.58429929658912,7.0,23.0,31.0,44.25,163.0
20,364.0,34.77197802197802,18.881833076242224,5.0,22.0,30.0,42.0,170.0
21,364.0,31.76923076923077,15.682157693699867,8.0,20.0,29.0,39.0,100.0
22,363.0,29.939393939393938,13.60783275686684,9.0,19.0,27.0,37.5,86.0
23,363.0,27.371900826446282,11.411295338129008,8.0,19.0,25.0,33.5,74.0
