Mes,count,mean,std,min,25%,50%,75%,max
1,0.0,,,,,,,
2,0.0,,,,,,,
3,7.0,3.4285714285714284,2.8784916685156974,0.0,1.5,2.0,6.0,7.0
4,6.0,4.5,2.073644135332772,1.0,4.0,4.5,5.75,7.0
5,8.0,9.625,6.7175144212722016,1.0,5.5,9.0,11.5,22.0
6,2.0,11.0,9.899494936611665,4.0,7.5,11.0,14.5,18.0
7,8.0,16.125,14.710904604602474,2.0,6.0,10.5,26.0,44.0
8,6.0,24.666666666666668,35.11504900561391,3.0,5.5,12.5,19.5,95.0
9,4.0,7.5,6.8068592855540455,2.0,2.0,6.0,11.5,16.0
10,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
11,11.0,8.727272727272727,5.405384520844175,2.0,5.0,8.0,9.5,19.0
12,8.0,7.25,5.230405611149374,3.0,3.75,6.0,8.25,19.0
