,count,mean,std,min,25%,50%,75%,max
Seg,10.0,6.2,5.493430419854044,2.0,2.25,3.5,8.25,18.0
Ter,9.0,5.222222222222222,4.790035954399971,2.0,2.0,4.0,4.0,14.0
Qua,7.0,55.142857142857146,137.52385074527808,2.0,2.0,3.0,5.0,367.0
Qui,8.0,15.75,24.835170913156897,2.0,3.5,7.5,12.25,76.0
Sex,12.0,4.333333333333333,3.892494720807615,0.0,2.0,2.5,6.5,11.0
Sáb,10.0,33.3,62.55140108564937,0.0,3.5,8.0,13.25,196.0
Dom,5.0,3.8,0.4472135954999579,3.0,4.0,4.0,4.0,4.0
