,count,mean,std,min,25%,50%,75%,max
Seg,795.0,31.250314465408806,18.573876844495555,0.0,20.0,27.0,38.0,200.0
Ter,786.0,36.91730279898219,26.58733055595532,2.0,22.0,31.0,44.0,290.0
Qua,787.0,34.912325285895804,28.021732533954555,4.0,20.0,28.0,41.0,449.0
Qui,766.0,34.422976501305484,21.352838987549298,6.0,20.0,29.0,42.0,172.0
Sex,766.0,35.476501305483026,26.08570782961225,7.0,20.0,29.0,43.0,373.0
Sáb,807.0,29.0817843866171,14.53039093871411,5.0,20.0,27.0,35.0,142.0
Dom,840.0,26.308333333333334,18.97960581856768,5.0,18.0,23.0,29.25,391.0
