,count,mean,std,min,25%,50%,75%,max
Seg,9.0,2.7777777777777777,1.855921454276674,1.0,2.0,2.0,3.0,7.0
Ter,12.0,8.0,9.629500128629353,0.0,3.75,5.0,7.5,37.0
Qua,8.0,8.0,6.047431568147635,0.0,3.5,8.0,12.25,17.0
Qui,7.0,3.0,2.581988897471611,0.0,1.0,3.0,4.5,7.0
Sex,4.0,31.25,56.55307241874662,0.0,2.25,4.5,33.5,116.0
Sáb,13.0,3.0,2.3804761428476167,0.0,2.0,2.0,4.0,9.0
Dom,6.0,7.833333333333333,7.909909396868378,3.0,3.0,4.0,8.75,23.0
