,count,mean,std,min,25%,50%,75%,max
Seg,7.0,8.285714285714286,4.15187851918806,5.0,6.0,7.0,8.5,17.0
Ter,5.0,11.4,9.476286192385707,0.0,5.0,10.0,20.0,22.0
Qua,6.0,10.833333333333334,6.493586579592718,0.0,8.75,11.5,14.25,19.0
Qui,7.0,7.285714285714286,6.26403186758299,0.0,4.5,6.0,8.0,20.0
Sex,3.0,12.666666666666666,12.423096769056148,5.0,5.5,6.0,16.5,27.0
Sáb,8.0,8.875,6.642665127793212,1.0,3.75,8.0,12.25,20.0
Dom,4.0,4.75,3.774917217635375,0.0,3.0,5.0,6.75,9.0
