Mes,count,mean,std,min,25%,50%,75%,max
1,739.0,22.197564276048716,9.856501274054752,1.0,16.0,21.0,28.0,88.0
2,664.0,22.852409638554217,9.540699208891214,0.0,16.0,22.0,29.0,62.0
3,744.0,23.149193548387096,11.491610815434765,3.0,15.0,21.0,29.0,94.0
4,719.0,22.600834492350486,11.966785480420691,3.0,14.0,19.0,29.0,85.0
5,743.0,26.853297442799462,12.944678548503127,0.0,17.0,25.0,34.0,80.0
6,718.0,23.385793871866294,13.337698122610687,0.0,15.0,21.0,29.0,91.0
7,743.0,24.82907133243607,17.041383435799926,1.0,15.5,22.0,31.0,260.0
8,744.0,28.868279569892472,19.714690787251627,1.0,17.0,24.0,35.25,191.0
9,718.0,22.579387186629525,12.090717933767293,1.0,14.0,20.0,30.0,92.0
10,744.0,15.150537634408602,6.486048780412667,1.0,11.0,15.0,19.0,52.0
11,720.0,17.54722222222222,7.039170599736149,0.0,13.0,17.0,21.0,70.0
12,715.0,16.50769230769231,5.853571259310498,0.0,13.0,16.0,20.0,40.0
