Hora,count,mean,std,min,25%,50%,75%,max
0,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
1,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
3,0.0,,,,,,,
4,3.0,6.0,2.0,4.0,5.0,6.0,7.0,8.0
5,2.0,9.0,2.8284271247461903,7.0,8.0,9.0,10.0,11.0
6,0.0,,,,,,,
7,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
8,6.0,11.333333333333334,7.607014306984487,0.0,6.5,13.0,16.5,20.0
9,0.0,,,,,,,
10,3.0,7.333333333333333,6.429100507328637,0.0,5.0,10.0,11.0,12.0
11,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
12,0.0,,,,,,,
13,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
14,2.0,3.5,4.949747468305833,0.0,1.75,3.5,5.25,7.0
15,4.0,8.5,1.7320508075688772,6.0,8.25,9.0,9.25,10.0
16,3.0,12.0,7.211102550927978,6.0,8.0,10.0,15.0,20.0
17,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
18,3.0,13.0,12.165525060596439,5.0,6.0,7.0,17.0,27.0
19,2.0,17.5,2.1213203435596424,16.0,16.75,17.5,18.25,19.0
20,2.0,13.0,12.727922061357855,4.0,8.5,13.0,17.5,22.0
21,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
22,0.0,,,,,,,
23,2.0,3.0,4.242640687119285,0.0,1.5,3.0,4.5,6.0
