Hora,count,mean,std,min,25%,50%,75%,max
0,1.0,9.0,,9.0,9.0,9.0,9.0,9.0
1,0.0,,,,,,,
2,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
3,3.0,8.0,5.291502622129181,2.0,6.0,10.0,11.0,12.0
4,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
5,4.0,3.0,1.4142135623730951,2.0,2.0,2.5,3.5,5.0
6,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
7,2.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
8,3.0,3.3333333333333335,1.5275252316519465,2.0,2.5,3.0,4.0,5.0
9,3.0,3.0,2.6457513110645907,1.0,1.5,2.0,4.0,6.0
10,2.0,10.0,9.899494936611665,3.0,6.5,10.0,13.5,17.0
11,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
12,2.0,76.5,55.86143571373726,37.0,56.75,76.5,96.25,116.0
13,5.0,3.4,3.5071355833500366,0.0,0.0,3.0,7.0,7.0
14,2.0,8.0,5.656854249492381,4.0,6.0,8.0,10.0,12.0
15,2.0,3.5,4.949747468305833,0.0,1.75,3.5,5.25,7.0
16,1.0,13.0,,13.0,13.0,13.0,13.0,13.0
17,4.0,2.25,2.0615528128088303,0.0,0.75,2.5,4.0,4.0
18,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0
19,2.0,13.5,13.435028842544403,4.0,8.75,13.5,18.25,23.0
20,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
21,7.0,4.0,2.943920288775949,0.0,2.0,5.0,5.0,9.0
22,2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
23,4.0,4.5,4.43471156521669,1.0,2.5,3.0,5.0,11.0
