,count,mean,std,min,25%,50%,75%,max
Seg,1242.0,37.326892109500804,31.91746610982001,7.0,24.0,32.0,44.0,686.0
Ter,1240.0,37.644354838709674,18.80545145499161,5.0,25.0,34.0,46.0,188.0
Qua,1221.0,39.58886158886159,21.337022556388,7.0,25.0,35.0,48.0,165.0
Qui,1221.0,39.946764946764944,34.80881671478117,7.0,25.0,35.0,48.0,985.0
Sex,1232.0,38.75568181818182,20.536062477639625,4.0,25.0,34.0,47.0,187.0
Sáb,1245.0,32.80401606425703,15.645443023297235,7.0,23.0,30.0,40.0,194.0
Dom,1261.0,30.406026962727992,13.776795368699446,6.0,22.0,28.0,36.0,177.0
