Hora,count,mean,std,min,25%,50%,75%,max
0,3.0,3.6666666666666665,1.5275252316519465,2.0,3.0,4.0,4.5,5.0
1,4.0,2.5,1.0,2.0,2.0,2.0,2.5,4.0
2,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
3,6.0,2.8333333333333335,1.6020819787597222,0.0,2.25,3.5,4.0,4.0
4,2.0,13.5,0.7071067811865476,13.0,13.25,13.5,13.75,14.0
5,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
6,3.0,2.3333333333333335,0.5773502691896258,2.0,2.0,2.0,2.5,3.0
7,2.0,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0
8,4.0,7.0,7.3484692283495345,3.0,3.0,3.5,7.5,18.0
9,4.0,5.75,3.8622100754188224,2.0,3.5,5.0,7.25,11.0
10,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
11,2.0,38.0,53.74011537017761,0.0,19.0,38.0,57.0,76.0
12,4.0,98.0,179.3599732381782,4.0,8.5,10.5,100.0,367.0
13,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
14,4.0,28.25,38.836194458262774,2.0,8.75,12.5,32.0,86.0
15,5.0,8.8,6.457553716385176,2.0,2.0,11.0,13.0,16.0
16,0.0,,,,,,,
17,3.0,68.33333333333333,110.57275131483946,3.0,4.5,6.0,101.0,196.0
18,4.0,5.75,4.349329450233296,2.0,2.0,5.5,9.25,10.0
19,0.0,,,,,,,
20,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
21,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
22,2.0,5.0,4.242640687119285,2.0,3.5,5.0,6.5,8.0
23,2.0,2.0,2.8284271247461903,0.0,1.0,2.0,3.0,4.0
