,count,mean,std,min,25%,50%,75%,max
Seg,11.0,11.0,8.306623862918075,2.0,7.5,9.0,12.0,34.0
Ter,19.0,15.052631578947368,10.189720769320676,3.0,8.0,14.0,20.0,44.0
Qua,11.0,14.636363636363637,9.770084209183945,4.0,7.5,12.0,18.0,34.0
Qui,9.0,15.88888888888889,8.31330927555995,4.0,11.0,13.0,21.0,31.0
Sex,11.0,16.0,8.67179335547152,5.0,8.5,18.0,24.0,27.0
Sáb,13.0,8.461538461538462,6.213096176831975,0.0,4.0,8.0,13.0,22.0
Dom,10.0,6.3,6.000925854492047,0.0,2.0,4.0,10.75,17.0
