Hora,count,mean,std,min,25%,50%,75%,max
0,211.0,24.492890995260662,11.042933387140542,6.0,17.0,22.0,30.0,74.0
1,245.0,24.677551020408163,11.614280097132166,2.0,17.0,22.0,30.0,87.0
2,242.0,23.18595041322314,10.401211274699378,5.0,17.0,21.0,27.75,70.0
3,240.0,23.045833333333334,12.246850134413496,6.0,16.0,21.0,27.0,106.0
4,239.0,22.07949790794979,11.336616056495457,0.0,16.0,20.0,26.0,136.0
5,238.0,22.10924369747899,11.21240265354645,6.0,16.0,21.0,26.0,135.0
6,235.0,23.2,12.121112470452847,6.0,17.0,22.0,28.0,139.0
7,232.0,31.982758620689655,18.224659930613395,9.0,21.0,28.0,38.0,155.0
8,231.0,33.41991341991342,17.999307764257804,8.0,21.0,29.0,40.0,106.0
9,218.0,34.26146788990825,20.191718922438053,5.0,21.0,28.0,42.75,129.0
10,224.0,37.200892857142854,37.89565327733279,3.0,21.75,29.0,41.25,391.0
11,220.0,37.96818181818182,28.450451784194605,9.0,23.0,32.0,44.0,284.0
12,226.0,32.33185840707964,14.598646911343687,6.0,23.0,31.0,38.75,105.0
13,219.0,37.926940639269404,29.600926021517004,4.0,25.0,33.0,42.0,373.0
14,226.0,38.76548672566372,22.913612722228404,6.0,23.0,32.0,45.75,142.0
15,229.0,40.851528384279476,26.941208894347778,3.0,25.0,33.0,49.0,238.0
16,229.0,39.58951965065502,22.811528984108318,7.0,24.0,34.0,48.0,163.0
17,233.0,44.5450643776824,28.201688689353027,8.0,26.0,38.0,52.0,150.0
18,239.0,44.67364016736402,36.658688305641064,11.0,27.0,38.0,52.0,449.0
19,235.0,39.02127659574468,20.818804535682702,10.0,24.0,34.0,49.5,166.0
20,230.0,35.891304347826086,21.668229072300193,9.0,22.0,31.0,44.75,151.0
21,234.0,34.76923076923077,26.65013656259356,5.0,21.0,29.0,40.0,245.0
22,233.0,29.854077253218883,15.398589084859399,7.0,19.0,27.0,37.0,86.0
23,239.0,26.93723849372385,13.350173664782663,6.0,17.0,25.0,34.0,87.0
