srcID,Aremis_PM,Aremis_PM10,Aremis_PM2p5,Aremis_CO,Aremis_SOx,Aremis_NOx,Aremis_VOC,Relhgt,Nverts,z0,geometry,Facility,Date,EmiDate
A1,0.000729,0.000365,0.0000547,,,,,2,9,0,"[[-48.96276305413173,-28.458492713834637],[-48.962596026441105,-28.45806347521914],[-48.9632255923556,-28.45801829210607],[-48.96318704750348,-28.45747609323471],[-48.962351909045395,-28.457589051561897],[-48.96120841177202,-28.455160420920706],[-48.96133689461135,-28.45505875609605],[-48.96209494336597,-28.45530726994008],[-48.96411212394955,-28.457713305582224],[-48.96276305413173,-28.458492713834637]]",JL,2024-11-13,2022-10-20
A2,0.000729,0.000365,0.0000547,,,,,2,12,0,"[[-48.96578713757145,-28.456482696835145],[-48.96459273361927,-28.45405303689322],[-48.96308216391401,-28.45549436732489],[-48.96459273361927,-28.457481312059777],[-48.96577542772894,-28.45693567810548],[-48.96626724112079,-28.457182757980647],[-48.96647801828928,-28.45656505721059],[-48.965927655683515,-28.456647417521815],[-48.964744961573786,-28.45731659267237],[-48.963573977306595,-28.455998828333357],[-48.96424143833872,-28.455329644841534],[-48.965143096224296,-28.45543259642338],[-48.96578713757145,-28.456482696835145]]",JL,2024-11-13,2022-10-20
A3,0.000729,0.000365,0.0000547,,,,,2,9,0,"[[-48.96610473988463,-28.45483796624095],[-48.966666812332875,-28.45615574504984],[-48.96599935130078,-28.456392531688806],[-48.96534360011239,-28.455054165454932],[-48.96467613908027,-28.45363341968182],[-48.96540214932557,-28.453324559378323],[-48.96565976586473,-28.45397316497303],[-48.96534360011239,-28.45407611787578],[-48.965765154448576,-28.45497180390241],[-48.96610473988463,-28.45483796624095]]",JL,2024-11-13,2022-10-20
A4,0.000729,0.000365,0.0000547,,,,,2,17,0,"[[-48.96880141537278,-28.449636704323957],[-48.968379861036595,-28.449245466334204],[-48.96777094921762,-28.44893659321351],[-48.9670800684998,-28.449626408606044],[-48.96748991299353,-28.450151488949544],[-48.967595301577376,-28.449533747098656],[-48.96799343622786,-28.44928664934811],[-48.96847353977796,-28.449492564181],[-48.968438410249746,-28.449822027078497],[-48.96829789213771,-28.450151488949544],[-48.96840328072156,-28.450769227190406],[-48.96818079371059,-28.450769227190406],[-48.96786462795902,-28.450522132326867],[-48.9680988248125,-28.451016321476622],[-48.968578928361836,-28.45069715791471],[-48.96859063820432,-28.450305923848397],[-48.968438410249746,-28.450027940867514],[-48.96880141537278,-28.449636704323957]]",JL,2024-11-13,2022-10-20
A5,0.000729,0.000365,0.0000547,,,,,2,15,0,"[[-48.961240420759935,-28.460867850767706],[-48.96133035874942,-28.462223299238566],[-48.96026395118119,-28.46307044570711],[-48.959762868106054,-28.46288972169731],[-48.95918469532745,-28.46331894071635],[-48.95719321131139,-28.463815928980566],[-48.956782066224264,-28.46337541677235],[-48.95703903190372,-28.463093036186244],[-48.956460859125116,-28.462381433762403],[-48.95604971403799,-28.462528272750625],[-48.95589553463029,-28.46182796189847],[-48.957501570126766,-28.461443918493856],[-48.95858082598048,-28.461681121938682],[-48.959570143846236,-28.46072100947557],[-48.960559461711966,-28.460630645500643],[-48.961240420759935,-28.460867850767706]]",JL,2024-11-13,2022-10-20
A6,0.000176,0.0000881,0.0000132,,,,,2,4,0,"[[-48.963192922621744,-28.457504628531254],[-48.96323685648554,-28.458045382313493],[-48.96258883199502,-28.458093663765936],[-48.96245703040361,-28.457494972188684],[-48.963192922621744,-28.457504628531254]]",JL,2024-11-13,2022-10-20
A7,0.000176,0.0000881,0.0000132,,,,,2,8,0,"[[-48.96554338433546,-28.456162388438166],[-48.96519191342503,-28.45551540331445],[-48.96457683933184,-28.45530295957399],[-48.96361029432819,-28.455882350587643],[-48.96363226125976,-28.45619135782954],[-48.96428028575099,-28.4568866208215],[-48.965631252063076,-28.45682868241316],[-48.96567518592687,-28.456461738424657],[-48.96554338433546,-28.456162388438166]]",JL,2024-11-13,2022-10-20
A8,0.000176,0.0000881,0.0000132,,,,,2,4,0,"[[-48.96552047737305,-28.453739248306377],[-48.96599276640907,-28.45473388230321],[-48.96574014669204,-28.454859417968358],[-48.965300808054025,-28.45380684508806],[-48.96552047737305,-28.453739248306377]]",JL,2024-11-13,2022-10-20
A9,0.000176,0.0000881,0.0000132,,,,,2,8,0,"[[-48.968286936417854,-28.44948303857803],[-48.96793546550745,-28.44934783944302],[-48.96762792846087,-28.449589266347886],[-48.96756202766477,-28.450081775525753],[-48.96780366391607,-28.45021697372122],[-48.9682649694856,-28.45078673565032],[-48.9684516884073,-28.45077707869423],[-48.96847365533884,-28.450323200755],[-48.968286936417854,-28.44948303857803]]",JL,2024-11-13,2022-10-20
