srcID,Lnemis_PM,Lnemis_PM10,Lnemis_PM2p5,Lnemis_CO,Lnemis_SOx,Lnemis_NOx,Lnemis_VOC,Relhgt,Width,Szinit,z0,geometry,Facility,Date,EmiDate
L1,0.0025,0.00073,0.000073,,,,,0.5,4,0,0,"[[-48.96381753932488,-28.458514941747012],[-48.9629982852687,-28.459069939263593],[-48.96256540649887,-28.45894308294517],[-48.96213252772901,-28.45822951331779],[-48.961483209574254,-28.45830879906959],[-48.95489984494941,-28.4609251955264],[-48.95486377171858,-28.461226473383633],[-48.95704620218345,-28.463922079160113],[-48.95845305818543,-28.463573239932117],[-48.95919255941749,-28.463367107120334],[-48.959841877572245,-28.46355738357648],[-48.964152628654915,-28.46178145666378],[-48.96409851880895,-28.461305756888535],[-48.96184394188245,-28.4584356561492]]",JL,2024-11-13,2022-10-20
L2,0.0025,0.00073,0.000073,,,,,0.5,4,0,0,"[[-48.96491777286576,-28.457706225865095],[-48.96558512763622,-28.457864798094192],[-48.96544083471292,-28.458118513166774],[-48.96388968578768,-28.458435656151238],[-48.963601099941116,-28.45808679881651],[-48.9641963082494,-28.457674511390067],[-48.96215817070836,-28.45526418349153],[-48.961256339937876,-28.454978746285896],[-48.96113008362971,-28.455153180225906],[-48.96260908609332,-28.458261227628284],[-48.96277141563229,-28.458562513078597],[-48.96352895347951,-28.458134370339394]]",JL,2024-11-13,2022-10-20
L3,0.0018,0.000522,0.0000544,,,,,0.5,4,0,0,"[[-48.963577124813014,-28.45491874634],[-48.96457070301693,-28.453976489970145],[-48.96585454002246,-28.456449895029564],[-48.965955014222715,-28.45637137512336],[-48.96469350481763,-28.45390778344786]]",JL,2024-11-13,2022-10-20
L4,0.0018,0.000522,0.0000544,,,,,0.5,4,0,0,"[[-48.966345984468745,-28.452751762309852],[-48.9653528487855,-28.45253645863623],[-48.96445494529041,-28.452727839700714],[-48.962835998082,-28.453110600791724],[-48.96219658195679,-28.453744545798493],[-48.96227820954681,-28.454725358885014],[-48.962999253262865,-28.45552674818954],[-48.96430529470962,-28.457308920537585],[-48.96463180507132,-28.45756009677566],[-48.96570656834453,-28.457069704518418],[-48.96626435687975,-28.457320881324897],[-48.967584002924696,-28.456352053213124],[-48.967339120153014,-28.455897538200368],[-48.96678133161868,-28.455933421035837],[-48.96542087177829,-28.452990988099614],[-48.964903897039335,-28.453194329594872],[-48.9640740165361,-28.45419907006721],[-48.963461809608106,-28.454677514555335],[-48.96323053143547,-28.4544861370199],[-48.96306727625466,-28.454725358885014],[-48.96318971764009,-28.45497654126148],[-48.9629040210738,-28.45529948915295]]",JL,2024-11-13,2022-10-20
L5,0.00109,0.00031,0.000031,,,,,0.5,4,0,0,"[[-48.964836919123286,-28.449476543256885],[-48.966302240478456,-28.44924579097006],[-48.966597491796534,-28.449207332207266],[-48.966849002178634,-28.44950538725812]]",JL,2024-11-13,2022-10-20
L6,0.00109,0.00031,0.000031,,,,,0.5,4,0,0,"[[-48.9690251137435,-28.448265088135088],[-48.96863144531963,-28.448582375341957],[-48.96810655408777,-28.44872659648513],[-48.96751605145161,-28.448841973258517],[-48.96712238302774,-28.449265020347937],[-48.966881807880185,-28.449553460575643],[-48.96703490115638,-28.450303401483453]]",JL,2024-11-13,0022-10-20
L7,0.00109,0.00031,0.000031,,,,,0.5,4,0,0,"[[-48.968150295023776,-28.451005264440916],[-48.96858770438362,-28.450764900939575],[-48.968653315787236,-28.450313016077487],[-48.968511157745496,-28.4500341925393],[-48.968948567105315,-28.449678451096986],[-48.96864238055343,-28.449361167177464],[-48.968040942683444,-28.448995808759832],[-48.96775662659991,-28.448890046875995],[-48.967384828643674,-28.449178488126435],[-48.96710051256011,-28.44957268989583],[-48.96711144779391,-28.44981305610716],[-48.967537921919956,-28.45022648471361],[-48.96706770685796,-28.450341859849296],[-48.96710051256011,-28.45102449349708],[-48.96685993741181,-28.45137061591702],[-48.96666310320023,-28.451726351666622],[-48.96661936226428,-28.452437819576545],[-48.96661936226428,-28.45263972176059]]",JL,2024-11-13,2022-10-20
L8,0.0025,0.00073,0.000073,,,,,0.5,4,0,0,"[[-48.9628720289611,-28.460084784330192],[-48.95661332341362,-28.46236815010512]]",JL,2024-11-13,2022-10-20
