PTS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
count,363.0,364.0,364.0,364.0,364.0,364.0,364.0,364.0,363.0,363.0,361.0,362.0,364.0,363.0,362.0,362.0,363.0,364.0,364.0,364.0,364.0,364.0,363.0,363.0
mean,25.575757575757574,24.36263736263736,23.983516483516482,22.681318681318682,22.354395604395606,23.104395604395606,24.203296703296704,26.178571428571427,27.490358126721762,27.28374655647383,29.304709141274238,31.116022099447513,29.282967032967033,32.900826446280995,33.75414364640884,33.51933701657459,34.42424242424242,38.31043956043956,36.41208791208791,36.7032967032967,34.77197802197802,31.76923076923077,29.939393939393938,27.371900826446282
std,10.702747448510266,9.60144213630338,11.897623567479624,8.287039395812549,9.252396453328586,7.667331322314918,17.286514118497834,11.211637113686322,13.940750339818042,14.741771195101968,15.341889098012727,19.762378362355744,13.563020377149638,18.2770596901501,17.608635408639078,17.89693211309191,19.316545070064432,30.924591493419996,22.764465737456028,20.58429929658912,18.881833076242224,15.682157693699867,13.60783275686684,11.411295338129008
min,7.0,7.0,7.0,9.0,7.0,8.0,7.0,9.0,4.0,4.0,7.0,9.0,8.0,9.0,8.0,8.0,7.0,10.0,9.0,7.0,5.0,8.0,9.0,8.0
25%,18.0,17.0,17.0,17.0,17.0,18.0,17.0,18.0,18.0,18.0,19.0,20.0,20.0,20.0,21.25,21.25,22.0,22.75,22.0,23.0,22.0,20.0,19.0,19.0
50%,23.0,23.0,22.0,21.0,21.0,22.0,23.0,24.0,25.0,24.0,26.0,27.0,27.5,30.0,31.0,29.0,30.0,32.0,31.0,31.0,30.0,29.0,27.0,25.0
75%,31.0,29.0,29.0,27.0,26.0,27.0,28.0,32.0,34.0,33.5,36.0,37.0,36.0,41.5,42.0,41.0,42.5,43.25,44.0,44.25,42.0,39.0,37.5,33.5
max,69.0,67.0,165.0,67.0,124.0,55.0,318.0,90.0,100.0,183.0,119.0,283.0,99.0,190.0,173.0,155.0,189.0,351.0,169.0,163.0,170.0,100.0,86.0,74.0
