MP10,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
count,363.0,364.0,362.0,364.0,364.0,364.0,364.0,363.0,363.0,362.0,359.0,361.0,363.0,363.0,362.0,362.0,363.0,364.0,364.0,364.0,364.0,364.0,363.0,362.0
mean,19.62534435261708,18.997252747252748,18.56353591160221,17.5989010989011,17.414835164835164,17.82967032967033,18.98901098901099,19.94214876033058,19.429752066115704,18.502762430939228,19.545961002785514,21.67590027700831,20.96694214876033,23.94214876033058,24.599447513812155,25.430939226519335,26.203856749311296,28.804945054945055,28.681318681318682,29.156593406593405,27.335164835164836,24.98901098901099,23.454545454545453,21.76795580110497
std,9.699212081679786,8.63444911039929,8.032661628417875,7.990600462968141,7.017169005681509,6.881011433526204,14.418571209151674,9.186794679051383,10.607898479875901,10.380636304021476,10.96400811128835,12.360676933594469,10.030286085962716,12.100840699981035,12.177236823139397,12.847795706543282,15.303460284739685,18.65823927476648,17.599385865117338,16.69991786454985,15.79928424383151,13.264417909966387,11.343944766831694,10.214121489591516
min,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0
25%,13.0,13.0,14.0,12.0,13.0,13.0,14.0,13.0,12.0,12.0,12.0,13.0,14.0,16.0,16.0,17.0,17.0,17.75,18.0,18.0,17.0,16.0,15.0,15.0
50%,18.0,18.0,17.0,17.0,16.0,17.0,17.0,18.0,17.0,17.0,18.0,19.0,20.0,23.0,23.0,23.5,23.0,24.0,25.0,26.0,24.0,22.5,21.0,20.0
75%,25.0,23.0,23.0,22.0,21.0,22.0,23.0,25.0,25.0,23.0,24.0,28.0,27.0,30.0,31.0,32.0,32.0,35.0,36.0,36.0,34.0,32.0,30.0,27.0
max,61.0,54.0,62.0,63.0,45.0,46.0,260.0,59.0,61.0,98.0,76.0,121.0,68.0,90.0,92.0,91.0,179.0,191.0,146.0,147.0,144.0,88.0,73.0,67.0
