MP10,1,2,3,4,5,6,7,8,9,10,11,12
count,739.0,664.0,744.0,719.0,743.0,718.0,743.0,744.0,718.0,744.0,720.0,715.0
mean,22.197564276048716,22.852409638554217,23.149193548387096,22.600834492350486,26.853297442799462,23.385793871866294,24.82907133243607,28.868279569892472,22.579387186629525,15.150537634408602,17.54722222222222,16.50769230769231
std,9.856501274054752,9.540699208891214,11.491610815434765,11.966785480420691,12.944678548503127,13.337698122610687,17.041383435799926,19.714690787251627,12.090717933767293,6.486048780412667,7.039170599736149,5.853571259310498
min,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
25%,16.0,16.0,15.0,14.0,17.0,15.0,15.5,17.0,14.0,11.0,13.0,13.0
50%,21.0,22.0,21.0,19.0,25.0,21.0,22.0,24.0,20.0,15.0,17.0,16.0
75%,28.0,29.0,29.0,29.0,34.0,29.0,31.0,35.25,30.0,19.0,21.0,20.0
max,88.0,62.0,94.0,85.0,80.0,91.0,260.0,191.0,92.0,52.0,70.0,40.0
